id,n_lines_gt,n_lines_pred,n_line_cmds_gt,n_line_cmds_pred,gt_h,gt_v,pred_h,pred_v,ratio_h_sample,ratio_v_sample,par_recall_hits,par_recall_denom,par_recall_index_aligned,perp_recall_hits,perp_recall_denom,perp_recall_index_aligned,pair_recall_extrude_count_mismatch,pair_recall_extrudes_skipped_line_mismatch,parse_ok_gt,parse_ok_pred
00324286,16,16,16,16,10,6,10,6,1.0,1.0,30,30,1.0,36,36,1.0,False,0,True,True
00324287,8,8,8,8,4,4,4,4,1.0,1.0,4,4,1.0,8,8,1.0,False,0,True,True
00324293,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00324303,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00324310,12,12,12,12,6,6,6,6,1.0,1.0,30,30,1.0,36,36,1.0,False,0,True,True
00324316,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00324317,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00324318,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00324319,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00324328,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00324329,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00324337,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00324342,14,14,14,14,6,8,6,7,1.0,0.875,15,18,0.8333333333333334,21,24,0.875,False,0,True,True
00324344,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00324345,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00324346,3,3,3,3,2,1,2,1,1.0,1.0,1,1,1.0,2,2,1.0,False,0,True,True
00324353,10,9,10,9,1,5,2,3,2.0,0.6,0,0,,0,0,,False,1,True,True
00324359,8,8,8,8,1,0,1,0,1.0,,0,0,,0,0,,False,0,True,True
00324362,8,8,8,8,4,4,4,4,1.0,1.0,12,12,1.0,16,16,1.0,False,0,True,True
00324383,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00324452,14,14,14,14,6,6,6,6,1.0,1.0,7,7,1.0,12,12,1.0,False,0,True,True
00324454,6,6,6,6,2,2,2,2,1.0,1.0,3,3,1.0,4,4,1.0,False,0,True,True
00324457,22,22,22,22,10,10,9,10,0.9,1.0,9,10,0.9,20,20,1.0,False,0,True,True
00324458,10,10,10,10,3,4,3,4,1.0,1.0,3,3,1.0,6,6,1.0,False,0,True,True
00324459,22,22,22,22,9,10,11,10,1.2222222222222223,1.0,9,9,1.0,18,18,1.0,False,0,True,True
00324462,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00324463,10,10,10,10,3,4,3,4,1.0,1.0,3,6,0.5,6,6,1.0,False,0,True,True
00324464,8,8,8,8,4,4,4,4,1.0,1.0,4,4,1.0,8,8,1.0,False,0,True,True
00324465,8,8,8,8,4,3,4,3,1.0,1.0,3,3,1.0,6,6,1.0,False,0,True,True
00324466,8,8,8,8,4,3,4,3,1.0,1.0,3,3,1.0,6,6,1.0,False,0,True,True
