epoch,step,loss,loss_cmd,loss_args
1,1,13.07446014881134,1.7843457460403442,11.290114402770996
1,2,13.06142783164978,1.7775428295135498,11.28388500213623
1,3,13.065581440925598,1.7873164415359497,11.278264999389648
1,4,13.070881605148315,1.7799994945526123,11.290882110595703
1,5,13.045444369316101,1.7724980115890503,11.27294635772705
1,6,13.021321654319763,1.757813811302185,11.263507843017578
1,7,13.013189554214478,1.754075288772583,11.259114265441895
1,8,12.948149800300598,1.7282048463821411,11.219944953918457
1,9,12.930770635604858,1.718902349472046,11.211868286132812
1,10,12.907241344451904,1.7140917778015137,11.19314956665039
1,11,12.856126189231873,1.6906970739364624,11.16542911529541
1,12,12.804845333099365,1.6752047538757324,11.129640579223633
1,13,12.782526969909668,1.6530628204345703,11.129464149475098
1,14,12.765040874481201,1.6605210304260254,11.104519844055176
1,15,12.651058912277222,1.6013848781585693,11.049674034118652
1,16,12.648452758789062,1.620051383972168,11.028401374816895
1,17,12.616985321044922,1.6150989532470703,11.001886367797852
1,18,12.55717933177948,1.593795657157898,10.963383674621582
1,19,12.486425995826721,1.5781999826431274,10.908226013183594
1,20,12.437687397003174,1.5614323616027832,10.87625503540039
1,21,12.364522933959961,1.556166648864746,10.808356285095215
1,22,12.332741498947144,1.5573127269744873,10.775428771972656
1,23,12.261522769927979,1.5418620109558105,10.719660758972168
1,24,12.21802282333374,1.534813404083252,10.683209419250488
1,25,12.220972895622253,1.5786389112472534,10.642333984375
1,26,12.181514382362366,1.571200966835022,10.610313415527344
1,27,11.995073080062866,1.4986989498138428,10.496374130249023
1,28,11.974031209945679,1.5125834941864014,10.461447715759277
1,29,11.954087376594543,1.5358697175979614,10.418217658996582
1,30,11.947309017181396,1.5703949928283691,10.376914024353027
1,31,11.827402353286743,1.5285789966583252,10.298823356628418
1,32,11.730367302894592,1.5262218713760376,10.204145431518555
1,33,11.739592909812927,1.5432409048080444,10.196352005004883
1,34,11.628180503845215,1.5219316482543945,10.10624885559082
1,35,11.659669637680054,1.549793004989624,10.10987663269043
1,36,11.502031803131104,1.520251750946045,9.981780052185059
1,37,11.468470454216003,1.535282015800476,9.933188438415527
1,38,11.422322392463684,1.5046416521072388,9.917680740356445
1,39,11.336156845092773,1.4970321655273438,9.83912467956543
1,40,11.246845602989197,1.4981902837753296,9.748655319213867
1,41,11.193518042564392,1.4928125143051147,9.700705528259277
1,42,11.162443280220032,1.4722424745559692,9.690200805664062
1,43,11.08968722820282,1.4694384336471558,9.620248794555664
1,44,11.04129183292389,1.4883428812026978,9.552948951721191
