id,n_lines_gt,n_lines_pred,n_line_cmds_gt,n_line_cmds_pred,gt_h,gt_v,pred_h,pred_v,ratio_h_sample,ratio_v_sample,par_recall_hits,par_recall_denom,par_recall_index_aligned,perp_recall_hits,perp_recall_denom,perp_recall_index_aligned,pair_recall_extrude_count_mismatch,pair_recall_extrudes_skipped_line_mismatch,parse_ok_gt,parse_ok_pred
00570560,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00570635,7,9,7,7,7,0,2,1,0.2857142857142857,,1,1,1.0,0,0,,False,1,True,True
00570656,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00570703,24,24,24,24,12,12,12,12,1.0,1.0,20,20,1.0,32,32,1.0,False,0,True,True
00570706,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00570707,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00570933,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00570999,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00571086,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00571158,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00571237,0,3,0,2,0,0,1,0,,,0,0,,0,0,,False,1,True,True
00571389,8,8,8,8,4,4,4,4,1.0,1.0,4,4,1.0,8,8,1.0,False,0,True,True
00571486,40,0,40,40,18,18,0,0,0.0,0.0,0,0,,0,0,,False,0,True,False
00571493,14,14,14,14,7,7,7,6,1.0,0.8571428571428571,8,10,0.8,14,17,0.8235294117647058,False,0,True,True
00571496,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00571656,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00571709,26,27,26,27,14,12,9,5,0.6428571428571429,0.4166666666666667,11,16,0.6875,10,12,0.8333333333333334,True,2,True,True
00571828,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00571837,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00571918,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00571954,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00571991,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00572010,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00572086,16,16,16,16,7,9,8,7,1.1428571428571428,0.7777777777777778,42,57,0.7368421052631579,56,63,0.8888888888888888,False,0,True,True
00572095,12,12,12,12,6,6,6,6,1.0,1.0,6,6,1.0,12,12,1.0,False,0,True,True
00572130,14,14,14,14,7,6,5,6,0.7142857142857143,1.0,25,36,0.6944444444444444,30,42,0.7142857142857143,False,0,True,True
00572186,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00572252,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00572402,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00572425,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00572443,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00572504,24,24,24,24,12,12,9,9,0.75,0.75,8,20,0.4,23,28,0.8214285714285714,False,0,True,True
00572586,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00572613,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00572615,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00572656,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00572707,13,13,13,13,7,6,7,5,1.0,0.8333333333333334,31,36,0.8611111111111112,35,42,0.8333333333333334,False,0,True,True
00572724,17,17,17,17,9,8,8,8,0.8888888888888888,1.0,8,10,0.8,16,18,0.8888888888888888,False,0,True,True
00573242,10,10,10,10,5,5,5,5,1.0,1.0,8,8,1.0,13,13,1.0,False,0,True,True
00573334,18,18,18,18,10,5,6,8,0.6,1.6,6,21,0.2857142857142857,12,19,0.631578947368421,False,0,True,True
00573361,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00573467,12,12,12,12,6,6,6,6,1.0,1.0,6,6,1.0,12,12,1.0,False,0,True,True
00573562,36,36,36,36,18,18,16,18,0.8888888888888888,1.0,16,18,0.8888888888888888,32,36,0.8888888888888888,False,0,True,True
00573650,8,8,8,8,4,4,4,4,1.0,1.0,4,4,1.0,8,8,1.0,False,0,True,True
00573705,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00573917,9,9,9,9,4,1,4,1,1.0,1.0,6,6,1.0,4,4,1.0,False,0,True,True
00573970,9,9,9,9,5,4,5,3,1.0,0.75,13,16,0.8125,15,20,0.75,False,0,True,True
00573991,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00574088,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00574356,13,13,13,13,6,7,6,7,1.0,1.0,18,18,1.0,24,24,1.0,False,0,True,True
00574462,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00574464,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00575013,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00575185,7,7,7,7,3,4,3,4,1.0,1.0,9,9,1.0,12,12,1.0,False,0,True,True
00575473,2,2,2,2,0,2,0,2,,1.0,1,1,1.0,0,0,,False,0,True,True
00575484,24,23,24,23,10,14,11,11,1.1,0.7857142857142857,8,8,1.0,16,16,1.0,False,1,True,True
00575506,4,4,4,4,0,0,1,0,,,0,2,0.0,0,4,0.0,False,0,True,True
00575588,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00575593,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00575600,8,8,8,8,4,2,4,2,1.0,1.0,6,7,0.8571428571428571,4,8,0.5,False,0,True,True
00575719,17,17,17,17,8,6,9,7,1.125,1.1666666666666667,10,12,0.8333333333333334,15,18,0.8333333333333334,False,0,True,True
00575803,5,5,5,5,2,3,2,3,1.0,1.0,4,4,1.0,6,6,1.0,False,0,True,True
00576154,16,16,16,16,7,6,7,7,1.0,1.1666666666666667,5,5,1.0,11,11,1.0,False,0,True,True
00576223,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00576242,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00576475,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00576517,18,18,18,18,10,8,9,8,0.9,1.0,10,13,0.7692307692307693,20,20,1.0,False,0,True,True
00576623,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00576631,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00576649,3,3,3,3,1,2,1,2,1.0,1.0,1,1,1.0,2,2,1.0,False,0,True,True
00576728,10,10,10,10,2,6,2,6,1.0,1.0,8,8,1.0,8,8,1.0,False,0,True,True
00576734,6,6,6,6,2,0,2,0,1.0,,3,3,1.0,0,0,,False,0,True,True
00576879,4,3,4,3,0,0,1,0,,,0,0,,0,1,0.0,False,1,True,True
00577036,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00577037,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
00577140,4,4,4,4,2,1,2,1,1.0,1.0,1,1,1.0,2,2,1.0,False,0,True,True
00577296,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00577368,13,16,13,16,6,6,6,4,1.0,0.6666666666666666,2,2,1.0,4,4,1.0,False,1,True,True
00577370,12,12,12,12,6,6,6,6,1.0,1.0,6,6,1.0,12,12,1.0,False,0,True,True
00577682,0,0,0,0,0,0,0,0,,,0,0,,0,0,,False,0,True,True
00577854,4,4,4,4,2,2,2,2,1.0,1.0,2,2,1.0,4,4,1.0,False,0,True,True
